2
37 1 7 0 
23 2 8 0 
7 8 12 37 14 16 17 33 18 26 23 22 20 
1 2 3 4 5 6 7 8 9 10 11 12 
38 0 0 0 0 0 0 0 0 0 0 13 
37 0 0 0 0 0 0 0 0 0 0 14 
36 0 0 0 0 0 0 0 0 0 0 15 
35 0 0 0 0 0 0 0 0 0 0 16 
34 0 0 0 0 0 0 0 0 0 0 17 
33 0 0 0 0 0 0 0 0 0 0 18 
32 0 0 0 0 0 0 0 0 0 0 19 
31 30 29 28 27 26 25 24 23 22 21 20 
1 1 5 5 5 6 3 2 8 7 7 1 
7 0 0 0 0 0 0 0 0 0 0 7 
7 0 0 0 0 0 0 0 0 0 0 9 
9 0 0 0 0 0 0 0 0 0 0 7 
7 0 0 0 0 0 0 0 0 0 0 3 
1 0 0 0 0 0 0 0 0 0 0 2 
6 0 0 0 0 0 0 0 0 0 0 6 
8 0 0 0 0 0 0 0 0 0 0 2 
7 3 3 2 1 9 3 2 8 6 8 7 
